subscribers,date,,,,,,,
6472382,3-14,,,,,,,
6451863,4-14,,0%,,,,,
6619058,1-15,,3%,,,,,
6633260,2-15,,0%,,,,,
6679797,3-15,,1%,3.2%,,,,
6702691,4-15,,0%,,,,,
6714939,1-16,,0%,,,,,
6714832,2-16,,0%,,,,,
6271562,3-16,,-7%,-6.1%,,,,
6360904,4-16,,1%,,,,,
6390232,1-17,,0%,,,,,
7488588,2-17,,17%,,,,,
7137171,3-17,,-5%,13.8%,,,,
7488588,4-17,,5%,,,,,
7651312,1-18,,2%,,,,,
7998657,2-18,,5%,,,,,
8396728,3-18,,5%,17.6%,,,,
8552289,4-18,,2%,,,,,
8460405,1-19,,-1%,,,,,
8574412,2-19,,1%,,,,,
8759360,3-19,,2%,4.3%,,,,
9117826,4-19,,4%,,,,,
9575796,1-20,,5%,,,,,
8766968,2-20,,-8%,,,,,
8603084,3-20,,-2%,-1.8%,,,,
8773300,4-20,,2%,,,,,
8668095,1-21,,-1%,,,,,
8872214,2-21,,2%,,,,,
9073236,3-21,,2%,5.5%,,,,
9253453,4-21,,2%,,,,,
9359485,1-22,,1%,,,,,
9125792,2-22,,-2%,,,,,
9753620,3-22,,7%,7.5%,,,,
9988105,4-22,,2%,,,,,
9996255,1-23,,0%,,,,,
10094328,2-23,,1%,,,,,
10319991,3-23,,2%,5.8%,,,59%,5.3%
