ADM1_PCODE,ADM1_EN,POPULATION,AREA_SQKM,POPULATION_DENSITY,NUM_OF_HOUSEHOLDS
ZW10,Bulawayo,665952,479,1390.296451,178716
ZW11,Manicaland,2037703,36459,55.89026029,502929
ZW12,Mashonaland Central,1384891,28347,48.85494056,337985
ZW13,Mashonaland East,1731173,32230,53.71309339,452666
ZW14,Mashonaland West,1893584,57441,32.96572135,466865
ZW15,Matabeleland North,827645,75025,11.03158947,199426
ZW16,Matabeleland South,760345,54172,14.03575648,193328
ZW17,Midlands,1811905,49166,36.85280478,440244
ZW18,Masvingo,1638528,56566,28.96665842,393225
ZW19,Harare,2427231,872,2783.521789,653557
