ADM1_PCODE,ADM1_EN,ADM2_PCODE,ADM2_EN,ADM3_PCODE,ADM3_EN,AREA_SQKM,NUM_HOUSEHOLDS,POPULATION,POPULATION_DENSITY,Average_Household_Size
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102101,1,3.906980082,2429,7919,2026.885173,3.260189378
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102102,2,156.7867609,7106,26238,167.3483134,3.692372643
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102103,3,50.3588667,9633,35177,698.5264424,3.651718053
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102104,4,59.55191802,8155,27139,455.7199987,3.327896996
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102105,5,22.88435301,5983,20161,880.9949747,3.36971419
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102106,6,32.87602834,3646,13100,398.4666233,3.592978607
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102107,7,8.665583962,4536,17420,2010.251136,3.840388007
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102108,8,6.852158136,5709,22176,3236.352629,3.884393064
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102109,9,4.454355305,6708,25017,5616.300965,3.729427549
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102110,10,4.983081986,7529,27546,5527.904233,3.658653208
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102111,11,3.550217982,4755,17632,4966.455606,3.70809674
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102112,12,3.307765913,6856,25481,7703.386717,3.7165986
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102113,13,2.779619418,4803,17602,6332.521599,3.664792838
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102114,14,2.446801424,5364,19860,8116.719162,3.70246085
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102115,15,3.850822747,3448,13469,3497.694099,3.906322506
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102116,16,6.442728971,4113,15510,2407.364964,3.770970095
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102117,17,99.3327975,4263,16235,163.440479,3.808350927
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102118,18,2.890309343,5911,21167,7323.437558,3.58095077
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102119,19,3.461220294,5164,19544,5646.563449,3.784663052
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102120,20,9.812158153,4755,18242,1859.122093,3.836382755
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102121,21,3.773339794,6597,25709,6813.327557,3.897074428
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102122,22,2.112978036,4406,17192,8136.383676,3.901951884
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102123,23,3.188395008,4673,17321,5432.513838,3.706612455
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102124,24,3.421000925,5629,21243,6209.586161,3.773849707
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102125,25,4.041927388,5958,23170,5732.413717,3.888888889
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102126,26,5.414876956,5764,22311,4120.315232,3.87074948
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102127,27,12.14772868,10448,39805,3276.744241,3.809820061
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102128,28,19.2572399,19702,75070,3898.274125,3.810273069
ZW10,Bulawayo,ZW1021,Bulawayo,ZW102129,29,3.22022694,4673,17496,5433.157452,3.744061631
ZW11,Manicaland,ZW1101,Buhera,ZW110101,1,121.8947228,1204,4305,35.31736157,3.575581395
ZW11,Manicaland,ZW1101,Buhera,ZW110102,2,117.1059191,1145,4199,35.85642836,3.667248908
ZW11,Manicaland,ZW1101,Buhera,ZW110103,3,84.32571265,1307,4957,58.78396807,3.792654935
ZW11,Manicaland,ZW1101,Buhera,ZW110104,4,114.3756058,1571,6170,53.94506948,3.927434755
ZW11,Manicaland,ZW1101,Buhera,ZW110105,5,217.467928,2329,8989,41.33483076,3.859596393
ZW11,Manicaland,ZW1101,Buhera,ZW110106,6,154.523705,2041,8603,55.67430577,4.215090642
ZW11,Manicaland,ZW1101,Buhera,ZW110107,7,77.46299822,1603,6607,85.29233507,4.121646912
ZW11,Manicaland,ZW1101,Buhera,ZW110108,8,126.1016831,1278,5135,40.72110597,4.01799687
ZW11,Manicaland,ZW1101,Buhera,ZW110109,9,86.75461929,1239,4931,56.83847201,3.979822437
ZW11,Manicaland,ZW1101,Buhera,ZW110110,10,105.7841478,1466,5607,53.00416099,3.824693042
ZW11,Manicaland,ZW1101,Buhera,ZW110111,11,175.114333,1406,6145,35.09135943,4.370554765
ZW11,Manicaland,ZW1101,Buhera,ZW110112,12,205.8170439,1836,8162,39.65657968,4.445533769
ZW11,Manicaland,ZW1101,Buhera,ZW110113,13,123.073852,1557,6626,53.8375934,4.255619782
ZW11,Manicaland,ZW1101,Buhera,ZW110114,14,122.287816,4627,18671,152.6807871,4.03522801
ZW11,Manicaland,ZW1101,Buhera,ZW110115,15,176.8403737,2329,10096,57.09103519,4.334907686
ZW11,Manicaland,ZW1101,Buhera,ZW110116,16,137.7618909,1624,6708,48.69271144,4.130541872
ZW11,Manicaland,ZW1101,Buhera,ZW110117,17,102.210437,1056,4422,43.26368354,4.1875
ZW11,Manicaland,ZW1101,Buhera,ZW110118,18,191.8380081,1692,7516,39.17888888,4.442080378
ZW11,Manicaland,ZW1101,Buhera,ZW110119,19,117.4478166,1315,5628,47.9191539,4.279847909
ZW11,Manicaland,ZW1101,Buhera,ZW110120,20,174.7824047,1793,8005,45.79980471,4.464584495
ZW11,Manicaland,ZW1101,Buhera,ZW110121,21,160.9589632,1646,7205,44.76296228,4.37727825
ZW11,Manicaland,ZW1101,Buhera,ZW110122,22,255.6097963,3162,14537,56.8718422,4.597406705
ZW11,Manicaland,ZW1101,Buhera,ZW110123,23,230.067951,2762,12279,53.37118859,4.445691528
ZW11,Manicaland,ZW1101,Buhera,ZW110124,24,156.5958169,2246,9892,63.16899261,4.404274265
ZW11,Manicaland,ZW1101,Buhera,ZW110125,25,245.3165879,2697,12248,49.92732087,4.541342232
ZW11,Manicaland,ZW1101,Buhera,ZW110126,26,203.0624865,2044,8907,43.86334549,4.357632094
ZW11,Manicaland,ZW1101,Buhera,ZW110127,27,163.7702965,2140,9622,58.75302302,4.496261682
ZW11,Manicaland,ZW1101,Buhera,ZW110128,28,273.9885893,2788,12613,46.03476383,4.524031564
ZW11,Manicaland,ZW1101,Buhera,ZW110129,29,364.6627703,2726,12375,33.93546314,4.539618489
ZW11,Manicaland,ZW1101,Buhera,ZW110130,30,237.6505136,1336,5722,24.07737275,4.282934132
ZW11,Manicaland,ZW1101,Buhera,ZW110131,31,119.3765118,1434,5598,46.89364697,3.90376569
ZW11,Manicaland,ZW1101,Buhera,ZW110132,32,127.2260655,1463,6193,48.67713211,4.233082707
ZW11,Manicaland,ZW1101,Buhera,ZW110133,33,86.00952294,3222,13247,154.017829,4.111421477
ZW11,Manicaland,ZW1102,Chimanimani,ZW110201,1,317.6108295,1481,5653,17.7985115,3.81701553
ZW11,Manicaland,ZW1102,Chimanimani,ZW110202,2,58.97128395,1044,4358,73.90037503,4.174329502
ZW11,Manicaland,ZW1102,Chimanimani,ZW110203,3,102.9385282,1506,5989,58.18035391,3.976759628
ZW11,Manicaland,ZW1102,Chimanimani,ZW110204,4,52.50449835,2708,10580,201.5065439,3.906942393
ZW11,Manicaland,ZW1102,Chimanimani,ZW110205,5,117.512354,1889,7716,65.66118145,4.0847009
ZW11,Manicaland,ZW1102,Chimanimani,ZW110206,6,89.92972161,658,2568,28.5556316,3.902735562
ZW11,Manicaland,ZW1102,Chimanimani,ZW110207,7,458.6079053,2150,9013,19.65295385,4.192093023
ZW11,Manicaland,ZW1102,Chimanimani,ZW110208,8,114.3666284,2405,9285,81.18627026,3.860706861
ZW11,Manicaland,ZW1102,Chimanimani,ZW110209,9,81.25478334,425,1711,21.05722186,4.025882353
ZW11,Manicaland,ZW1102,Chimanimani,ZW110210,10,37.87807865,778,3033,80.07269926,3.898457584
ZW11,Manicaland,ZW1102,Chimanimani,ZW110211,11,189.2179729,747,2799,14.79246373,3.746987952
ZW11,Manicaland,ZW1102,Chimanimani,ZW110212,12,466.3251517,1812,5832,12.50629519,3.218543046
ZW11,Manicaland,ZW1102,Chimanimani,ZW110213,13,101.4380206,3088,12877,126.9445118,4.170012953
ZW11,Manicaland,ZW1102,Chimanimani,ZW110214,14,186.7514886,1698,6007,32.16574092,3.537691402
ZW11,Manicaland,ZW1102,Chimanimani,ZW110215,15,31.16744511,1811,6188,198.5404956,3.416896742
ZW11,Manicaland,ZW1102,Chimanimani,ZW110216,16,362.603438,3581,14155,39.03713676,3.952806479
ZW11,Manicaland,ZW1102,Chimanimani,ZW110217,17,76.52270998,1214,4755,62.13841618,3.916803954
ZW11,Manicaland,ZW1102,Chimanimani,ZW110218,18,71.70497318,650,2454,34.22356764,3.775384615
ZW11,Manicaland,ZW1102,Chimanimani,ZW110219,19,129.4713347,710,2836,21.90446253,3.994366197
ZW11,Manicaland,ZW1102,Chimanimani,ZW110220,20,194.0590346,1885,7374,37.99874617,3.91193634
ZW11,Manicaland,ZW1102,Chimanimani,ZW110221,21,24.7411992,2046,8332,336.7662146,4.072336266
ZW11,Manicaland,ZW1102,Chimanimani,ZW110222,22,36.05517506,2802,11407,316.3762201,4.0710207
ZW11,Manicaland,ZW1102,Chimanimani,ZW110223,23,42.96487041,2067,8697,202.4211854,4.20754717
ZW11,Manicaland,ZW1103,Chipinge Rural,ZW110301,1,123.8381632,2202,9111,73.57182767,4.13760218
ZW11,Manicaland,ZW1103,Chipinge Rural,ZW110302,2,126.2631123,1735,7182,56.88122105,4.139481268
ZW11,Manicaland,ZW1103,Chipinge Rural,ZW110303,3,112.4650305,2749,11644,103.5344049,4.235722081
ZW11,Manicaland,ZW1103,Chipinge Rural,ZW110304,4,174.02985,1744,7342,42.18816485,4.209862385
